algona,3014
auburn,62528
beaux arts,299
bellevue,122334
black diamond,4153
bothell,17101
burien,48016
carnation,1786
clyde hill,2984
covington,17565
des moines,29228
duvall,6695
enumclaw,10926
federal way,89298
lake forest park,12595
hunts point,394
issaquah,30427
kenmore,20471
kent,118821
kirkland,48437
maple valley,22749
medina,2927
mercer island,22699
milton,831
newcastle,10354
normandy park,6335
north bend,5862
pacific,6513
redmond,54373
renton,91021
sammamish,46420
seatac,26909
seattle,608360
shoreline,53002
skykomish,198
snoqualmie,10672
tukwila,19151
woodinville,10938
yarrow point,1001